method,success,parallel_makespan_s,speedup_vs_serial,wait_time_total_s,finish_gap_s,finish_gap_ticks,overhead_vs_ideal_parallel_s
nonsync_efficiency,0,inf,0.0,0.7000000000000001,0.0,0,inf
sync_soft_lambda_0.5,1,56.932,1.7434131946884002,0.066,0.0,0,0.0660000000000025
