method,success,parallel_makespan_s,speedup_vs_serial,wait_time_total_s,finish_gap_s,finish_gap_ticks,overhead_vs_ideal_parallel_s
nonsync_efficiency,0,inf,0.0,0.178,0.0,0,inf
sync_soft_lambda_0.5,1,55.624,1.7387818207967785,1.1360000000000001,0.0,0,1.1360000000000028
