lambda,trials,success_rate,avg_parallel_makespan_s_on_success,p95_parallel_makespan_s_on_success,avg_speedup_on_success,avg_deadlock_wait_count
0.5,2,1.0,56.543000000000006,57.462,1.7368685477935373,0.0
0.0,2,0.0,inf,inf,0.0,2085.0
